
, , , , , , , , , , , , , , , , , , , , , , 
ID DATA, Industry Number, , , , IN, 39, , , , , , , , , , , , , , , , 
, Date, , , , , 45449, , , , , , , , , , , , , , , , 
, Course ID, , , , , BSG GRUPO 2 MAYO24, , , , , , , , , , , , , , , , 
, Number of Companies, , , , NUMCO, 5, , , , , , , , , , , , , , , , 
, Year, , , , YR, 16, , , , , , , , , , , , , , , , 
, Bonus Points, , , , , 1, , , , , , , , , , , , , , , , 
, Practice, , , , , 0, , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , none, , , , , , , , , , , , , , , 
COMPANIES, Company A, , , 1, A, 1, A Company, , , , , , , , , , , , , , , 
, Company B, , , 2, B, 1, B Company, , , , , , , , , , , , , , , 
, Company C, , , 3, C, 1, C Company, , , , , , , , , , , , , , , 
, Company D, , , 4, D, 1, D Company, , , , , , , , , , , , , , , 
, Company E, , , 5, E, 1, E Company, , , , , , , , , , , , , , , 
, Company F, , , 6, F, 0, F Company, , , , , , , , , , , , , , , 
, Company G, , , 7, G, 0, G Company, , , , , , , , , , , , , , , 
, Company H, , , 8, H, 0, H Company, , , , , , , , , , , , , , , 
, Company I, , , 9, I, 0, I Company, , , , , , , , , , , , , , , 
, Company J, , , 10, J, 0, J Company, , , , , , , , , , , , , , , 
, Company K, , , 11, K, 0, K Company, , , , , , , , , , , , , , , 
, Company L, , , 12, L, 0, L Company, , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
SCORING, Scoring Variables ------------------------, , , EPS, , 0.2, , , , , , , , , , , , , , , , 
  WEIGHTS, , , , ROE, , 0.2, , , , , , , , , , , , , , , , 
, , , , Stock Price, , 0.2, , , , , , , , , , , , , , , , 
, , , , Credit Rating, , 0.2, , , , , , , , , , , , , , , , 
, , , , Image Rating, , 0.2, , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, I.E. versus B-I-I ---------------------------, , , Investor Expectation, , 0.5, , , , , , , , , , , , , , , , 
, , , , Best-In-Industry, , 0.5, , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
PAGE 1, Year X Scoreboard ----------------------, , , Rank, , 2, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, , , , , 
, , , , I.E. Score, , 104, 104, 93, 45, 20, 0, 0, 0, 0, 0, 0, 0, , , , , 
, , , , B-I-I Score, , 77, 89, 68, 33, 17, 0, 0, 0, 0, 0, 0, 0, , , , , 
, , , , Wghtd Avg Score, , 91, 97, 81, 39, 19, 0, 0, 0, 0, 0, 0, 0, , , , , 
, , , , Change, , -10, -8, 3, 12, -1, 0, 0, 0, 0, 0, 0, 0, , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, Game-To-Date Scoreboard -------, , , Rank, , 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, , , , , 
, , , , I.E. Score, , 110, 104, 99, 53, 30, 0, 0, 0, 0, 0, 0, 0, , , , , 
, , , , B-I-I Score, , 84, 89, 76, 41, 24, 0, 0, 0, 0, 0, 0, 0, , , , , 
, , , , Wghtd Avg Score, , 97, 97, 88, 47, 27, 0, 0, 0, 0, 0, 0, 0, , , , , 
, , , , Bonus Points, , 2, 1, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, , , , , 
, , , , Overall Score, , 99, 98, 91, 50, 27, 0, 0, 0, 0, 0, 0, 0, , , , , 
, , , , Change, , -6, -8, -2, 0, -2, 0, 0, 0, 0, 0, 0, 0, , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , Investor, , , , 
, , , , , , , , , , , , , , , , , , Expect, , , , 
PAGE 2, Scoring, , EPS ---------------------------, , Y11, 2.79, 3.24, 2.59, 1.92, 3.48, 0, 0, 0, 0, 0, 0, 0, 2.5, , , , 
,   Measures, , , , Y12, 2.68, 4.75, 2.93, 2.95, 0.53, 0, 0, 0, 0, 0, 0, 0, 3, , , , 
, , , , , Y13, 3.97, 5.35, 6.15, 3.35, 0.85, 0, 0, 0, 0, 0, 0, 0, 3.5, , , , 
, , , , , Y14, 7.75, 7.97, 7.44, 3.94, 2.06, 0, 0, 0, 0, 0, 0, 0, 4, , , , 
, , , , , Y15, 8.05, 9.31, 5.14, 0.67, 0.3, 0, 0, 0, 0, 0, 0, 0, 4.5, , , , 
, , , , , Y16, 7.19, 9.36, 6.38, 2.54, 0.58, 0, 0, 0, 0, 0, 0, 0, 5.25, , , , 
, , , , , Y17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, , , , 
, , , , , Y18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, , , , 
, , , , , Y19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.5, , , , 
, , , , , Y20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , Wgtd Avg, 5.37, 6.51, 5.1, 2.57, 1.3, 0, 0, 0, 0, 0, 0, 0, 3.79, , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , Yx Score ------------------, , I.E., 24, 24, 22, 10, 2, 0, 0, 0, 0, 0, 0, 0, , , , , 
, , , , , B-I-I, 15, 20, 14, 5, 1, 0, 0, 0, 0, 0, 0, 0, , , , , 
, , , GTD Score --------------------, , I.E., 24, 24, 23, 14, 7, 0, 0, 0, 0, 0, 0, 0, , , , , 
, , , , , B-I-I, 16, 20, 16, 8, 4, 0, 0, 0, 0, 0, 0, 0, , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , Cumulative Net Profit, , , 629159, 729237, 607185, 299967, 156034, 0, 0, 0, 0, 0, 0, 0, , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , Investor, , , , 
, , , , , , , , , , , , , , , , , , Expect, , , , 
, , , ROE ---------------------------, , Y11, 0.236, 0.269, 0.23, 0.167, 0.284, 0, 0, 0, 0, 0, 0, 0, 0.21, , , , 
, , , , , Y12, 0.185, 0.302, 0.226, 0.212, 0.037, 0, 0, 0, 0, 0, 0, 0, 0.22, , , , 
, , , , , Y13, 0.224, 0.261, 0.373, 0.196, 0.057, 0, 0, 0, 0, 0, 0, 0, 0.23, , , , 
, , , , , Y14, 0.332, 0.323, 0.338, 0.201, 0.126, 0, 0, 0, 0, 0, 0, 0, 0.24, , , , 
, , , , , Y15, 0.267, 0.413, 0.191, 0.033, 0.017, 0, 0, 0, 0, 0, 0, 0, 0.25, , , , 
, , , , , Y16, 0.2, 0.481, 0.201, 0.127, 0.033, 0, 0, 0, 0, 0, 0, 0, 0.26, , , , 
, , , , , Y17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.27, , , , 
, , , , , Y18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.28, , , , 
, , , , , Y19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.29, , , , 
, , , , , Y20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3, , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , Wgtd Avg, 0.243, 0.342, 0.253, 0.151, 0.084, 0, 0, 0, 0, 0, 0, 0, 0.24, , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , Yx Score ------------------, , I.E., 15, 24, 15, 10, 3, 0, 0, 0, 0, 0, 0, 0, , , , , 
, , , , , B-I-I, 8, 20, 8, 5, 1, 0, 0, 0, 0, 0, 0, 0, , , , , 
, , , GTD Score --------------------, , I.E., 20, 24, 21, 13, 7, 0, 0, 0, 0, 0, 0, 0, , , , , 
, , , , , B-I-I, 14, 20, 15, 9, 5, 0, 0, 0, 0, 0, 0, 0, , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , Cumulative Average Equity, , , 2588051, 2130617, 2404562, 1988782, 1857787, 0, 0, 0, 0, 0, 0, 0, , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , Investor, , , , 
, , , , , , , , , , , , , , , , , , Expect, , , , 
, , , Stock Price ---------------, , Y11, 44.32, 62.31, 39.78, 11.95, 55.66, 0, 0, 0, 0, 0, 0, 0, 40, , , , 
, , , , , Y12, 30.46, 110.08, 53.04, 38.54, 23.16, 0, 0, 0, 0, 0, 0, 0, 50, , , , 
, , , , , Y13, 68.85, 107.81, 145.5, 47.76, 9.02, 0, 0, 0, 0, 0, 0, 0, 65, , , , 
, , , , , Y14, 196.71, 187.5, 168.27, 57.11, 10.94, 0, 0, 0, 0, 0, 0, 0, 80, , , , 
, , , , , Y15, 181.66, 209.71, 72.53, 23.96, 5.11, 0, 0, 0, 0, 0, 0, 0, 100, , , , 
, , , , , Y16, 130.03, 183.4, 90.99, 12.8, 5.06, 0, 0, 0, 0, 0, 0, 0, 125, , , , 
, , , , , Y17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, , , , 
, , , , , Y18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, , , , 
, , , , , Y19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 215, , , , 
, , , , , Y20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 250, , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , Yx Score ------------------, , I.E., 20, 24, 15, 2, 1, 0, 0, 0, 0, 0, 0, 0, , , , , 
, , , , , B-I-I, 14, 20, 10, 1, 1, 0, 0, 0, 0, 0, 0, 0, , , , , 
, , , GTD Score --------------------, , I.E., 20, 24, 15, 2, 1, 0, 0, 0, 0, 0, 0, 0, , , , , 
, , , , , B-I-I, 14, 20, 10, 1, 1, 0, 0, 0, 0, 0, 0, 0, , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , Investor, , , , 
, , , , , , , , , , , , , , , , , , Expect, , , , 
PAGE 3, Scoring, , Credit Rating -----------, , Y11, 8, 8, 8, 6, 7, 0, 0, 0, 0, 0, 0, 0, 6, , , , 
,   Measures, , , , Y12, 5, 8, 8, 7, 1, 0, 0, 0, 0, 0, 0, 0, 6, , , , 
,   (concluded), , , , Y13, 5, 8, 9, 3, 1, 0, 0, 0, 0, 0, 0, 0, 6, , , , 
, , , , , Y14, 9, 9, 9, 2, 1, 0, 0, 0, 0, 0, 0, 0, 7, , , , 
, , , , , Y15, 9, 7, 9, 1, 1, 0, 0, 0, 0, 0, 0, 0, 7, , , , 
, , , , , Y16, 9, 4, 8, 2, 1, 0, 0, 0, 0, 0, 0, 0, 7, , , , 
, , , , , Y17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, , , , 
, , , , , Y18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, , , , 
, , , , , Y19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, , , , 
, , , , , Y20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, , , , 
, , , , , , , , , , , , , , , , , , , , , , 
, , , Yx Score ------------------, , I.E., 24, 12, 22, 4, 0, 0, 0, 0, 0, 0, 0, 0, , , , , 
, , , , , B-I-I, 20, 11, 19, 5, 1, 0, 0, 0, 0, 0, 0, 0, , , , , 
