edad,promedio_notas,horas_estudio_semana,participacion_actividades,asistencia_clases
29,4.03,8,Media,81.91
18,2.82,14,Alta,76.78
19,3.7,17,Media,96.51
18,2.4,12,Alta,80.66
25,2.47,38,Alta,93.64
18,1.83,26,Baja,99.77
24,3.31,16,Media,70.32
18,2.37,15,Baja,95.17
26,4.14,33,Media,83.01
29,3.29,15,Media,60.67
24,3.43,6,Media,86.44
26,1.56,6,Media,76.29
22,2.56,18,Baja,73.58
22,3.6,31,Alta,76.54
27,3.56,33,Media,86.78
29,3.03,12,Media,90.33
28,3.47,14,Baja,81.9
26,3.09,10,Alta,82.0
27,3.38,13,Media,84.04
18,2.69,11,Media,100.0
29,3.93,30,Baja,79.41
26,2.86,25,Alta,94.93
19,3.64,30,Baja,81.68
27,2.05,34,Alta,56.86
19,3.37,9,Baja,82.94
21,3.75,27,Alta,58.5
24,2.6,13,Alta,75.06
22,1.28,14,Baja,60.98
25,3.43,17,Baja,92.59
18,2.99,36,Baja,93.4
18,4.99,22,Media,91.29
27,2.55,32,Media,91.92
20,3.77,36,Alta,81.73
25,3.08,9,Alta,74.39
25,3.77,29,Baja,79.77
23,1.77,7,Alta,78.46
20,2.3,13,Media,75.93
22,3.07,28,Baja,88.18
20,3.22,32,Media,88.74
27,3.8,15,Media,87.82
18,2.84,30,Media,88.74
29,2.68,33,Baja,86.96
22,3.36,14,Alta,78.42
26,3.26,30,Media,74.41
27,2.89,14,Media,84.66
24,3.49,5,Media,83.18
20,2.65,15,Alta,85.13
25,4.44,33,Media,89.09
28,2.71,23,Media,81.96
22,3.72,14,Media,81.31
20,2.28,25,Baja,71.91
20,3.83,38,Media,87.52
23,3.44,14,Media,86.3
18,2.82,27,Baja,69.12
19,3.14,37,Baja,72.2
23,3.2,34,Alta,63.04
24,2.15,7,Baja,90.69
28,1.98,28,Media,83.13
29,1.27,23,Alta,83.32
19,2.74,18,Alta,84.75
26,4.17,34,Alta,84.94
20,4.38,28,Media,96.16
28,2.11,35,Media,81.84
24,2.26,13,Media,68.0
23,3.55,19,Baja,88.75
27,3.24,19,Media,79.42
28,3.81,26,Media,96.46
28,3.5,35,Media,84.93
20,2.38,35,Media,78.05
28,3.01,15,Media,76.75
19,2.07,6,Media,98.64
23,3.82,37,Media,86.0
29,2.7,38,Alta,91.45
18,2.63,18,Media,85.91
27,3.46,21,Media,95.86
27,2.26,31,Baja,72.15
23,2.56,25,Alta,77.4
23,1.61,13,Media,98.06
20,2.86,30,Alta,59.27
18,3.69,31,Baja,98.3
24,3.41,18,Baja,88.47
22,4.74,30,Baja,75.39
20,1.4,31,Alta,67.23
20,2.3,37,Baja,97.65
23,2.22,33,Media,79.89
26,4.67,26,Media,72.13
29,3.54,6,Media,79.21
27,3.66,7,Alta,83.11
28,1.76,16,Alta,74.47
19,3.24,8,Media,82.76
25,3.25,8,Baja,93.78
20,3.47,29,Media,98.27
24,5.0,38,Baja,82.2
22,2.48,23,Alta,82.03
20,2.05,37,Alta,100.0
19,2.53,17,Baja,83.51
22,3.21,5,Baja,79.34
19,2.17,23,Alta,93.65
20,2.51,22,Alta,76.33
22,2.21,16,Alta,87.53
19,1.48,37,Media,68.1
25,3.28,14,Alta,90.44
22,2.51,30,Baja,77.09
27,3.39,34,Baja,100.0
26,4.65,24,Baja,87.53
29,3.68,11,Media,89.68
25,3.81,22,Baja,63.03
25,1.86,29,Baja,98.95
23,2.09,10,Alta,81.39
22,3.04,35,Media,88.3
24,1.79,39,Baja,80.37
25,2.79,10,Media,84.07
29,3.88,36,Alta,96.73
24,3.34,32,Baja,90.23
19,1.9,11,Media,83.26
29,3.04,11,Media,89.74
