default,student,balance,income
No,No,957.4717559476946,19756.007515258716
No,No,597.785892086235,46801.33307937843
No,Yes,663.4961204980576,27019.823184958776
No,No,552.9209177327202,49202.95513321641
Yes,No,1859.8857648922603,8903.328529283423
No,No,1146.6824923856889,50841.48024184437
No,Yes,542.9174408356315,19199.92923588335
No,No,987.9257893724853,33748.63632753244
No,No,799.5841056258588,45367.7190398534
No,No,86.36597739623416,12352.351035478125
No,Yes,322.19629569009896,21676.66380959279
No,Yes,1010.9595059271184,30511.707485307266
No,No,1746.0707469934114,27329.502118397504
No,Yes,668.08904878039,29846.185185857834
No,No,423.21097562172145,40263.81719703795
No,No,725.6030165888662,35191.66874828531
No,Yes,482.53655074468685,27642.29726804536
No,No,527.0965524556754,46446.33303740129
No,No,659.7209915761058,39525.00969808868
No,Yes,307.26590632506407,29953.902037720898
No,No,1188.0240376852557,24687.062663099918
No,No,214.07257851161603,39319.93804417174
No,Yes,226.94085304064322,26875.55489692806
No,No,773.5801671552539,44738.93290171249
No,No,1125.3415231916201,21920.043633057758
No,No,759.1342297428282,44236.102952456575
No,No,608.7116708338403,24708.360545634932
No,No,522.9525739933897,56906.432911830794
No,No,455.9639322746602,24615.280333300754
No,No,1375.1197202077797,21832.262070963494
No,Yes,1018.1010909071626,21416.463876228605
No,No,486.9275254634617,43983.64885635423
No,No,374.6426117246229,37050.47671455093
No,Yes,1242.0570992197795,35206.51289784434
No,Yes,1624.0520032330644,21346.524040624015
No,No,1272.4839127211555,28600.330475274633
No,No,320.4188192845388,26155.445091951704
No,No,519.3991205150497,28236.927643250918
No,No,448.5739870080394,19527.857540754092
No,No,575.3152463143954,27011.786364482046
No,No,1180.4354093453026,21395.174100580916
No,No,1640.9049828828843,40689.70039322104
No,Yes,1045.6738273480794,33811.36163467443
No,Yes,463.12541908426425,25001.477584225246
No,No,648.3367859555616,26761.004515907607
Yes,No,1845.0158140294338,40942.7582661273
No,Yes,855.1625287458494,23175.182212873253
No,Yes,628.648657236277,30553.934097029567
No,Yes,671.4492536646137,16832.004950989613
No,No,868.6053456192049,24739.971097962974
No,No,330.2526938021051,40761.59121575563
No,Yes,527.614616699214,23308.13181803658
No,No,1259.9089574297002,42768.76699460905
No,Yes,1021.5012553550707,17440.331346028746
No,No,718.064336191552,37836.52664159243
No,Yes,1562.8865110459365,27275.410953544128
No,No,365.8743135126101,18128.787773057313
No,No,511.37396689239216,33465.78848865017
No,No,831.5721219125576,13338.081769774686
No,Yes,972.9190034867343,33738.97371997304
No,No,170.33822971936524,20323.98561512572
No,No,472.18456544204594,31611.07623730586
No,No,586.7993481446425,33450.985230695245
No,Yes,1077.4106601752485,16715.054609519924
No,No,808.7054566070398,51992.046824691235
No,No,628.9571856005235,26583.051767236953
No,No,85.64203276240025,30802.068197927227
No,No,653.0684777805842,26605.016897930444
No,No,698.2556111140893,26520.08379461732
Yes,No,2919.199115513148,32410.18768634107
No,Yes,686.6206908627039,28371.386411130406
No,No,834.8238089855989,35101.31152760603
No,No,1448.085103552386,25914.713012854074
No,Yes,1362.2748943067331,23405.957434649546
Yes,Yes,2022.1461986935099,13880.963051235825
No,Yes,207.79786531568948,31732.829235967445
No,No,274.82475766413023,28440.35909021202
No,No,414.90681777689076,28975.38188564995
No,No,143.7268779409019,14038.511390854681
No,No,702.702917443259,28433.029031606242
No,No,295.6710842282068,50323.22212952003
Yes,Yes,2196.1001984074032,27730.64765592888
No,No,338.48035217811565,44589.97119123672
No,No,513.8012871478559,34666.107956322725
No,No,1181.1848638817012,7298.42812152487
No,No,211.6552227869974,34196.02073638208
No,No,133.43326596399646,35512.12970859812
No,No,766.628697511045,42456.391411630626
No,No,810.0761942999012,33132.59694434086
No,No,1157.3818559295323,25782.08990997565
No,Yes,1168.9810656133188,22755.596505813755
No,No,832.0894682281157,30077.39735093579
No,Yes,448.2630801380286,27115.511990251147
No,No,793.9379646547777,32530.29482331358
No,Yes,995.6996448771372,16519.02775779038
No,No,361.63371712340705,39168.99818538794
No,Yes,2602.5962494936452,18277.99749083564
No,No,942.5094283072438,30340.033551166885
No,No,279.3846981881586,28860.8195967814
No,No,1161.3111620809048,35872.22964034125
No,No,1298.1580561615597,19787.171097417275
No,No,903.3513395045663,33821.08245831276
No,Yes,657.3695223066865,31013.073453848137
No,No,348.2741384184839,34457.71415655444
No,No,627.6388785408392,26825.70379326578
No,No,858.8103782889208,29843.485311511853
No,No,673.4033798766596,36457.47786470118
No,No,1734.2108867950462,39102.97501531842
No,No,1044.7651343388222,48539.367461662616
No,Yes,377.72162610140725,12069.801923727271
No,No,252.4750619316895,36134.3776865072
No,Yes,1137.7685352083,24747.748483615873
No,No,557.8010103877402,32832.40821822671
No,Yes,1329.0298301708926,25938.07700652323
No,No,942.1222514345968,31204.640631897688
No,Yes,755.712902124605,16458.304023107605
No,No,318.02427242402274,35635.25925928473
No,No,150.47988987460877,39992.544997712605
No,No,783.4482966791159,33026.861080006856
No,No,208.1006134476129,44093.425433607496
No,No,306.4816517622789,31126.028732343566
No,No,749.2425119946593,38105.65878601544
No,No,697.1795502077168,17682.567871654566
No,Yes,280.18653910727136,39147.01810222657
