edad,ingreso,gasto,ahorros,compra
44,875.0,875.0,0.0,383.3
50,2689.97,1871.29,818.68,985.94
18,281.71,200.0,81.71,107.65
18,617.3,200.0,417.3,83.08
45,1523.68,846.45,677.23,276.94
21,735.92,735.92,0.0,451.55
46,1951.41,1575.45,375.96,539.43
34,934.33,871.17,63.16,259.92
26,2284.69,2038.26,246.43,666.3
28,1287.31,1287.31,0.0,332.93
25,955.71,247.45,708.26,40.37
40,1632.9,1480.98,151.92,752.13
53,7855.49,6262.26,1593.23,2092.68
48,6331.69,5016.12,1315.57,2824.48
18,516.39,516.39,0.0,178.5
44,2299.38,1530.0,769.38,297.51
30,4891.98,3925.78,966.2,1319.56
18,1954.65,1936.37,18.28,697.89
44,1724.63,1248.12,476.51,608.68
26,3941.74,3719.55,222.19,2154.53
36,1036.31,970.19,66.12,593.16
41,2197.49,850.96,1346.53,177.07
22,1297.6,1080.97,216.63,544.06
18,616.82,616.82,0.0,89.66
38,1166.07,807.83,358.24,366.36
23,10150.7,7456.23,2694.47,4054.67
22,798.77,798.77,0.0,282.26
55,1068.33,1000.14,68.19,642.31
18,2576.68,1414.72,1161.96,258.84
42,1420.27,992.74,427.53,609.86
43,3970.06,3441.83,528.23,1791.99
47,1770.14,1379.89,390.25,533.64
66,1034.58,607.85,426.73,437.43
40,2493.42,2387.71,105.71,697.92
18,2734.16,2001.22,732.94,574.69
29,3216.24,2433.74,782.5,907.4
18,1016.88,660.13,356.75,340.02
29,5026.9,2846.38,2180.52,1218.69
36,1388.51,772.89,615.62,342.93
18,982.44,607.8,374.64,370.89
24,5097.81,3590.32,1507.49,1528.86
51,2203.01,1463.12,739.89,455.38
42,1216.29,985.27,231.02,389.6
53,295.3,200.0,95.3,164.88
24,3144.09,2155.88,988.21,977.5
40,1494.35,1494.35,0.0,361.4
18,1426.3,1115.69,310.61,459.2
40,787.7,427.36,360.34,143.77
27,1299.37,978.94,320.43,460.92
53,3313.54,2732.27,581.27,1084.16
34,1417.73,893.64,524.09,278.17
75,2354.68,1704.78,649.9,456.99
21,3841.69,3570.68,271.01,1678.21
45,735.79,488.6,247.19,190.58
38,4611.11,2896.85,1714.26,1126.55
43,439.26,200.0,239.26,0.0
41,2237.31,1222.82,1014.49,726.41
19,938.52,925.0,13.52,444.85
28,4300.04,3046.35,1253.69,1110.46
35,386.49,386.49,0.0,209.75
36,2418.74,1913.08,505.66,1108.97
42,1648.46,1214.1,434.36,368.49
32,1488.85,810.93,677.92,415.63
51,2551.25,1844.58,706.67,470.32
18,1868.25,1209.66,658.59,590.08
18,2834.77,2110.2,724.57,1022.3
41,463.94,372.36,91.58,228.81
36,2002.51,1460.52,541.99,686.37
39,8744.6,6481.1,2263.5,3739.26
21,1126.84,539.65,587.19,248.75
49,636.7,557.27,79.43,338.67
32,2599.53,1865.94,733.59,688.06
38,3082.58,2710.1,372.48,773.66
33,3985.27,2565.22,1420.05,1441.35
46,959.69,533.6,426.09,88.47
31,3206.65,2700.56,506.09,1392.57
50,1109.84,730.54,379.3,238.22
48,1562.46,1368.54,193.92,630.32
32,1031.55,894.6,136.95,277.34
33,329.05,200.0,129.05,97.4
18,1050.84,1050.84,0.0,448.63
37,850.45,577.99,272.46,327.99
29,900.99,582.66,318.33,297.01
28,593.26,593.26,0.0,327.44
30,867.21,657.9,209.31,126.6
28,2013.61,2013.61,0.0,572.87
56,909.18,200.0,709.18,164.79
35,779.18,593.47,185.71,259.27
42,2392.55,1411.11,981.44,427.23
27,6251.18,5498.84,752.34,2267.93
18,1170.82,718.48,452.34,306.01
26,555.99,200.0,355.99,115.12
35,2785.38,2437.72,347.66,607.55
50,9167.77,6812.12,2355.65,2808.31
21,741.75,652.28,89.47,318.52
29,1431.08,1027.92,403.16,243.12
18,3547.54,2960.79,586.75,1508.22
18,671.83,505.96,165.87,165.14
18,3268.71,2029.89,1238.82,1073.44
50,2456.96,2022.55,434.41,675.75
31,3703.69,2390.51,1313.18,948.42
28,1341.46,1293.1,48.36,605.41
44,5526.26,4439.55,1086.71,968.39
39,9476.73,6287.61,3189.12,3220.25
47,231.92,200.0,31.92,129.75
23,4601.82,3072.54,1529.28,1392.33
30,845.66,200.0,645.66,51.49
48,3345.36,3345.36,0.0,808.96
45,946.37,633.75,312.62,111.95
34,1098.6,1098.6,0.0,636.89
33,6228.96,4849.05,1379.91,2302.16
26,852.61,629.72,222.89,332.16
50,1789.63,1516.08,273.55,550.54
18,433.98,200.0,233.98,97.32
26,2441.63,1808.37,633.26,884.11
75,781.95,221.38,560.57,83.65
45,2375.77,2022.66,353.11,903.79
38,1701.75,1624.6,77.15,641.48
60,5856.95,4626.89,1230.06,1655.32
25,1311.51,890.95,420.56,510.14
24,528.38,200.0,328.38,17.75
23,2556.0,1882.44,673.56,887.03
29,2078.84,1526.55,552.29,547.6
18,4152.25,2943.64,1208.61,896.0
32,406.93,377.8,29.13,142.13
22,1314.48,1201.24,113.24,274.92
24,1228.3,1228.3,0.0,556.81
18,2157.54,1989.09,168.45,525.25
18,834.67,834.67,0.0,200.06
42,1788.75,1788.75,0.0,798.47
39,12173.29,9415.47,2757.82,4322.92
25,5397.03,4207.75,1189.28,2331.57
44,718.81,459.09,259.72,268.15
18,1979.5,1551.57,427.93,257.03
48,492.92,245.01,247.91,140.92
21,394.37,200.0,194.37,107.19
37,1188.6,743.34,445.26,221.34
65,1969.84,1591.78,378.06,729.71
33,279.84,279.84,0.0,160.61
27,348.93,348.93,0.0,155.11
31,1942.83,1813.48,129.35,401.9
18,5849.67,4323.97,1525.7,1187.2
54,1419.32,1165.47,253.85,503.31
32,767.01,200.0,567.01,161.78
32,356.7,200.0,156.7,133.9
19,1645.61,1366.36,279.25,451.48
21,1284.25,1284.25,0.0,400.86
29,1847.44,1160.12,687.32,326.37
69,1853.58,1775.02,78.56,984.36
55,1090.92,818.8,272.12,366.29
19,1010.73,923.34,87.39,499.2
18,2227.98,1913.25,314.73,1131.79
37,856.84,630.39,226.45,330.6
35,996.69,644.54,352.15,337.86
18,687.66,687.66,0.0,292.51
43,11611.93,9951.11,1660.82,2949.78
29,3300.07,2452.04,848.03,1436.68
47,1008.45,1008.45,0.0,214.16
43,3636.44,3031.58,604.86,1597.74
35,843.37,843.37,0.0,267.93
37,2351.65,1883.95,467.7,485.32
32,943.32,310.04,633.28,114.91
47,1300.02,1103.49,196.53,456.42
44,2693.19,1602.99,1090.2,674.98
59,2502.5,1764.63,737.87,1012.2
40,476.97,237.11,239.86,107.7
43,5073.13,3677.53,1395.6,752.27
18,531.75,200.0,331.75,62.41
34,636.92,468.84,168.08,106.33
42,5133.81,4266.79,867.02,1926.64
22,1449.44,1049.9,399.54,524.11
35,994.09,699.13,294.96,312.68
36,410.93,250.04,160.89,140.82
33,1802.65,1172.91,629.74,305.7
58,1731.53,1731.53,0.0,468.65
18,1216.82,790.75,426.07,209.74
40,1196.34,597.68,598.66,267.07
36,3783.77,2772.48,1011.29,1217.59
26,962.12,962.12,0.0,538.07
47,2749.87,2565.58,184.29,657.36
52,872.16,462.17,409.99,127.33
18,1085.34,686.37,398.97,362.96
45,353.09,253.36,99.73,120.09
34,2532.77,2019.17,513.6,744.38
44,3615.13,3010.3,604.83,1418.77
35,3712.89,2803.15,909.74,1218.14
24,3256.02,2175.83,1080.19,963.99
46,2849.59,2378.35,471.24,535.74
18,5578.17,4555.7,1022.47,2032.61
35,688.99,364.94,324.05,144.51
