ID_Ventas,Fecha_de_Ventas,product_id,cantidad_vendida,actual_price,descuento_porcentaje,precio_descontado,total_ventas,ID_Cliente
1,2023-01-01,1007,3,355.35,5.73,334.99,1004.97,6856
2,2023-01-01,1067,4,865.32,24.76,651.07,2604.27,6013
3,2023-01-01,1021,10,393.65,6.49,368.1,3681.02,5485
4,2023-01-01,1030,6,180.64,24.33,136.69,820.14,687
5,2023-01-01,1022,4,535.63,8.9,487.96,1951.84,4638
6,2023-01-01,1019,7,57.6,19.19,46.55,325.83,7969
7,2023-01-01,1028,6,101.95,14.54,87.13,522.76,7866
8,2023-01-01,1003,6,869.53,8.77,793.27,4759.63,4661
9,2023-01-01,1056,1,168.71,23.31,129.38,129.38,1945
10,2023-01-01,1032,6,752.55,22.1,586.24,3517.42,2423
11,2023-01-01,1014,2,197.14,7.01,183.32,366.64,3600
12,2023-01-01,1047,1,364.95,9.0,332.1,332.1,2692
13,2023-01-01,1061,4,472.51,13.38,409.29,1637.15,3684
14,2023-01-01,1011,4,621.19,13.86,535.09,2140.37,3535
15,2023-01-01,1070,7,594.21,8.0,546.67,3826.71,6387
16,2023-01-01,1054,5,272.56,8.48,249.45,1247.23,926
17,2023-01-01,1009,10,140.95,20.23,112.44,1124.36,8069
18,2023-01-01,1056,10,168.71,14.24,144.69,1446.86,8128
19,2023-01-01,1050,3,460.79,22.37,357.71,1073.13,3599
20,2023-01-01,1062,4,401.49,21.98,313.24,1252.97,5311
21,2023-01-01,1012,10,980.62,23.32,751.94,7519.39,1458
22,2023-01-01,1071,1,360.99,13.44,312.47,312.47,5409
23,2023-01-01,1071,6,360.99,18.3,294.93,1769.57,4478
24,2023-01-01,1027,6,620.47,5.72,584.98,3509.87,3952
25,2023-01-01,1061,5,472.51,5.09,448.46,2242.3,7175
26,2023-01-01,1057,2,552.95,8.52,505.84,1011.68,1569
27,2023-01-01,1059,5,840.59,13.12,730.3,3651.52,5269
28,2023-01-01,1017,7,638.97,12.37,559.93,3919.51,5306
29,2023-01-02,1005,5,217.83,14.54,186.16,930.79,993
30,2023-01-02,1001,5,409.1,17.99,335.5,1677.51,1734
31,2023-01-02,1046,4,691.1,23.31,530.0,2120.02,2550
32,2023-01-02,1072,1,928.81,21.27,731.25,731.25,2777
33,2023-01-02,1002,9,180.65,23.8,137.66,1238.9,7004
34,2023-01-02,1062,7,401.49,11.81,354.07,2478.52,4943
35,2023-01-02,1005,2,217.83,24.81,163.79,327.57,3387
36,2023-01-02,1029,5,731.48,5.14,693.88,3469.41,1033
37,2023-01-02,1018,9,794.15,8.75,724.66,6521.96,674
38,2023-01-02,1017,2,638.97,11.96,562.55,1125.1,951
39,2023-01-02,1063,10,98.48,17.46,81.29,812.85,8288
40,2023-01-02,1050,10,460.79,8.61,421.12,4211.16,2025
41,2023-01-02,1065,8,50.35,16.19,42.2,337.59,6670
42,2023-01-02,1051,8,759.47,23.9,577.96,4623.65,1897
43,2023-01-02,1058,6,258.17,14.43,220.92,1325.5,8102
44,2023-01-02,1004,9,548.03,13.91,471.8,4246.19,3408
45,2023-01-02,1027,7,620.47,10.86,553.09,3871.61,1216
46,2023-01-02,1047,3,364.95,24.06,277.14,831.43,5562
47,2023-01-02,1039,7,690.52,21.29,543.51,3804.56,4463
48,2023-01-02,1003,5,869.53,24.18,659.28,3296.39,3019
49,2023-01-02,1014,8,197.14,18.8,160.08,1280.62,97
50,2023-01-02,1065,7,50.35,9.76,45.44,318.05,5845
51,2023-01-02,1051,5,759.47,21.08,599.37,2996.87,2508
52,2023-01-02,1041,8,709.21,22.95,546.45,4371.57,4401
53,2023-01-02,1016,1,381.88,12.0,336.05,336.05,5256
54,2023-01-02,1041,1,709.21,6.4,663.82,663.82,6856
55,2023-01-02,1062,6,401.49,17.16,332.59,1995.57,2668
56,2023-01-03,1040,5,322.23,6.08,302.64,1513.19,4695
57,2023-01-03,1050,8,460.79,13.04,400.7,3205.62,7371
58,2023-01-03,1045,1,464.66,16.52,387.9,387.9,5694
59,2023-01-03,1050,3,460.79,15.16,390.93,1172.8,1878
60,2023-01-03,1044,9,160.64,12.53,140.51,1264.61,5614
61,2023-01-03,1043,10,124.64,17.12,103.3,1033.02,4871
62,2023-01-03,1071,1,360.99,6.87,336.19,336.19,5266
63,2023-01-03,1013,5,456.05,17.67,375.47,1877.33,4400
64,2023-01-03,1016,10,381.88,15.17,323.95,3239.49,2780
65,2023-01-03,1026,9,602.31,6.29,564.42,5079.82,910
66,2023-01-03,1039,5,690.52,20.14,551.45,2757.25,7557
67,2023-01-03,1060,1,896.25,21.86,700.33,700.33,2541
68,2023-01-03,1027,7,620.47,20.86,491.04,3437.28,1132
69,2023-01-03,1051,1,759.47,9.6,686.56,686.56,3218
70,2023-01-03,1070,4,594.21,11.65,524.98,2099.94,8145
71,2023-01-03,1051,2,759.47,17.1,629.6,1259.2,256
72,2023-01-03,1056,5,168.71,19.02,136.62,683.11,917
73,2023-01-03,1001,3,409.1,16.68,340.86,1022.59,5876
74,2023-01-03,1063,1,98.48,19.4,79.37,79.37,4962
75,2023-01-03,1014,10,197.14,17.07,163.49,1634.88,3254
76,2023-01-03,1020,10,382.89,12.63,334.53,3345.31,3072
77,2023-01-03,1048,10,443.78,13.96,381.83,3818.28,4551
78,2023-01-03,1068,6,882.43,17.91,724.39,4346.32,3090
